"TRA_new.ensembl.transcript","TRA_new.gene.symbol"
"ENSMUST00000008537","Carhsp1"
"ENSMUST00000008573","Herpud2"
"ENSMUST00000008633","Elavl2"
"ENSMUST00000008745","Rab25"
"ENSMUST00000008801","Cyp4f15"
"ENSMUST00000008878","Gprc5b"
"ENSMUST00000008966","Acyp1"
"ENSMUST00000009058","Abcb1b"
"ENSMUST00000009356","Serpinb2"
"ENSMUST00000009425","Rarres2"
"ENSMUST00000009435","Pttg1ip"
"ENSMUST00000009617","Kcnc4"
"ENSMUST00000009705","Eng"
"ENSMUST00000009728","Syngr1"
"ENSMUST00000009740","Taf7l"
"ENSMUST00000009777","G0s2"
"ENSMUST00000009831","Fxyd5"
"ENSMUST00000009885","Ubp1"
"ENSMUST00000010007","Sdhb"
"ENSMUST00000010038","Snap47"
"ENSMUST00000010188","Zmynd10"
"ENSMUST00000010205","Gnat1"
"ENSMUST00000010267","Slc47a1"
"ENSMUST00000010736","Dazl"
"ENSMUST00000010753","Psen2"
"ENSMUST00000010795","Acaa1b"
"ENSMUST00000010807","Fads1"
"ENSMUST00000010940","Asz1"
"ENSMUST00000010941","Wnt2"
"ENSMUST00000010974","Kdelr3"
"ENSMUST00000011178","Slc5a1"
"ENSMUST00000011607","Cpb1"
"ENSMUST00000011776","Pinlyp"
"ENSMUST00000011934","Ttn"
"ENSMUST00000012028","Gltp"
"ENSMUST00000012259","Med15"
"ENSMUST00000012627","Rpa3"
"ENSMUST00000012734","Dnajb6"
"ENSMUST00000013299","Enkd1"
"ENSMUST00000013458","Adh4"
"ENSMUST00000013771","Trim54"
"ENSMUST00000013787","Lypd8"
"ENSMUST00000013797","1810065E05Rik"
"ENSMUST00000013949","Birc3"
"ENSMUST00000013966","Elof1"
"ENSMUST00000014058","Klk10"
"ENSMUST00000014080","Myl2"
"ENSMUST00000014248","Sval2"
"ENSMUST00000014263","Ugt1a6a"
"ENSMUST00000014421","Ankrd17"
"ENSMUST00000014457","Cox6c"
"ENSMUST00000014545","Ldhc"
"ENSMUST00000014578","Plg"
"ENSMUST00000014614","Rnf166"
"ENSMUST00000014990","Tppp3"
"ENSMUST00000015011","Surf4"
"ENSMUST00000015227","C8g"
"ENSMUST00000015234","Ptgds"
"ENSMUST00000015239","Fbxw5"
"ENSMUST00000015256","Slc25a13"
