"TRA_new.ensembl.transcript","TRA_new.gene.symbol"
"ENSMUST00000034586","Apoc3"
"ENSMUST00000034588","Apoa1"
"ENSMUST00000034590","Tagln"
"ENSMUST00000034600","Mpzl2"
"ENSMUST00000034602","Cd3d"
"ENSMUST00000034609","Treh"
"ENSMUST00000034610","Pate4"
"ENSMUST00000034612","Ddx25"
"ENSMUST00000034625","Chek1"
"ENSMUST00000034630","Fez1"
"ENSMUST00000034650","Mcam"
"ENSMUST00000034699","Scg3"
"ENSMUST00000034709","Bcl2l10"
"ENSMUST00000034723","Aldh1a2"
"ENSMUST00000034731","Lipc"
"ENSMUST00000034739","Rnf111"
"ENSMUST00000034742","Ccnb2"
"ENSMUST00000034746","Mns1"
"ENSMUST00000034755","Tcf12"
"ENSMUST00000034761","Narg2"
"ENSMUST00000034763","Rp9"
"ENSMUST00000034766","Rora"
"ENSMUST00000034777","Calml4"
"ENSMUST00000034796","Elovl4"
"ENSMUST00000034808","Nnmt"
"ENSMUST00000034811","Cyp19a1"
"ENSMUST00000034815","Kif23"
"ENSMUST00000034822","Acsbg1"
"ENSMUST00000034834","Pkm"
"ENSMUST00000034860","Cyp1a2"
"ENSMUST00000034903","Gsta4"
"ENSMUST00000034904","Elovl5"
"ENSMUST00000034911","Tinag"
"ENSMUST00000034912","Rasgrf1"
"ENSMUST00000034927","Zic1"
"ENSMUST00000034929","Lactb"
"ENSMUST00000034932","Plscr2"
"ENSMUST00000034946","Snx1"
"ENSMUST00000034973","Smad3"
"ENSMUST00000034980","Atr"
"ENSMUST00000034984","Rasa2"
"ENSMUST00000034989","Me1"
"ENSMUST00000035009","Cmtm7"
"ENSMUST00000035010","Stt3b"
"ENSMUST00000035014","Tgfbr2"
"ENSMUST00000035020","Eomes"
"ENSMUST00000035027","Clstn2"
"ENSMUST00000035029","Rbp2"
"ENSMUST00000035048","Cldn18"
"ENSMUST00000035055","Map4"
"ENSMUST00000035058","Cspg5"
"ENSMUST00000035061","Ngp"
"ENSMUST00000035077","Ltf"
"ENSMUST00000035085","Arpp21"
"ENSMUST00000035110","Hhatl"
"ENSMUST00000035120","Cck"
"ENSMUST00000035121","Amotl2"
"ENSMUST00000035148","Slco2a1"
"ENSMUST00000035155","Rab6b"
"ENSMUST00000035163","1300017J02Rik"
"ENSMUST00000035164","Topbp1"
"ENSMUST00000035170","Dnajc13"
"ENSMUST00000035180","1700080E11Rik"
"ENSMUST00000035222","Slc25a20"
"ENSMUST00000035234","1700102P08Rik"
"ENSMUST00000035243","Spert"
"ENSMUST00000035258","Ms4a4b"
"ENSMUST00000035269","Pygm"
"ENSMUST00000035273","Prl3b1"
"ENSMUST00000035283","Nup88"
"ENSMUST00000035295","Degs1"
"ENSMUST00000035323","Spib"
"ENSMUST00000035325","Qsox1"
"ENSMUST00000035371","Sv2a"
"ENSMUST00000035390","Azgp1"
"ENSMUST00000035471","Lama1"
"ENSMUST00000035560","Acbd6"
"ENSMUST00000035563","Tspan8"
"ENSMUST00000035625","Cyp7b1"
"ENSMUST00000035640","1700065I17Rik"
"ENSMUST00000035672","Ppl"
"ENSMUST00000035682","Ypel1"
"ENSMUST00000035695","Rbp3"
"ENSMUST00000035748","Armcx1"
"ENSMUST00000035780","Oma1"
"ENSMUST00000035799","Fgl2"
"ENSMUST00000035849","1700028P14Rik"
"ENSMUST00000035854","Cdrt4"
"ENSMUST00000035890","Slc7a13"
"ENSMUST00000035918","Cyp3a11"
"ENSMUST00000035938","Ccl5"
"ENSMUST00000035952","Ngf"
"ENSMUST00000035988","Txndc5"
"ENSMUST00000036045","Leap2"
"ENSMUST00000036060","Isl1"
"ENSMUST00000036089","Trim69"
"ENSMUST00000036153","Cops8"
"ENSMUST00000036177","En2"
"ENSMUST00000036206","Ccdc92"
"ENSMUST00000036273","Nfkbiz"
"ENSMUST00000036274","Spcs2"
"ENSMUST00000036303","Htr2c"
"ENSMUST00000036315","Gria1"
"ENSMUST00000036347","Snap91"
"ENSMUST00000036355","Phldb2"
"ENSMUST00000036382","Glyctk"
"ENSMUST00000036387","S100b"
"ENSMUST00000036424","Alox12b"
"ENSMUST00000036493","Atp1a1"
"ENSMUST00000036509","Ubac1"
"ENSMUST00000036540","Fam117b"
"ENSMUST00000036584","Pank1"
"ENSMUST00000036615","Ptplad1"
"ENSMUST00000036631","Dusp26"
"ENSMUST00000036649","Coil"
"ENSMUST00000036665","Cog6"
"ENSMUST00000036854","Efhd2"
"ENSMUST00000036928","Ephx1"
"ENSMUST00000036952","9530068E07Rik"
"ENSMUST00000036954","Gbx2"
"ENSMUST00000036972","3632451O06Rik"
"ENSMUST00000036991","Hspb8"
"ENSMUST00000036992","Lmo1"
"ENSMUST00000037007","Evpl"
"ENSMUST00000037048","Mmd2"
"ENSMUST00000037059","Ctrc"
"ENSMUST00000037064","Slc25a37"
"ENSMUST00000037115","Med30"
"ENSMUST00000037119","Dlx1"
"ENSMUST00000037190","2700029M09Rik"
"ENSMUST00000037287","Cdkn1c"
"ENSMUST00000037315","Abhd2"
"ENSMUST00000037324","Skp1a"
"ENSMUST00000037330","Inha"
"ENSMUST00000037333","Ccnd3"
"ENSMUST00000037337","Tbc1d19"
"ENSMUST00000037362","Naa30"
"ENSMUST00000037375","Eps8l3"
"ENSMUST00000037380","Atp8a1"
"ENSMUST00000037399","Blvrb"
"ENSMUST00000037491","F13a1"
"ENSMUST00000037504","Vwa9"
"ENSMUST00000037636","Ina"
"ENSMUST00000037685","Spt1"
"ENSMUST00000037687","Tmem35"
"ENSMUST00000037709","Tm7sf3"
"ENSMUST00000037718","Fbxo15"
"ENSMUST00000037798","Slc24a1"
"ENSMUST00000037831","H1foo"
"ENSMUST00000037850","Snx2"
"ENSMUST00000037875","Rrbp1"
"ENSMUST00000037877","Tcfl5"
"ENSMUST00000037903","Pkp4"
"ENSMUST00000037964","Txlnb"
"ENSMUST00000037996","Prm2"
"ENSMUST00000038004","Krt25"
"ENSMUST00000038007","Smpx"
"ENSMUST00000038027","Gpi1"
"ENSMUST00000038053","Lpp"
"ENSMUST00000038069","Ceacam10"
"ENSMUST00000038073","Catsper2"
"ENSMUST00000038107","Cited2"
"ENSMUST00000038118","Atp2c1"
"ENSMUST00000038128","Tmem109"
"ENSMUST00000038142","Isg20"
"ENSMUST00000038144","Esm1"
"ENSMUST00000038154","Mgarp"
"ENSMUST00000038161","Agmat"
"ENSMUST00000038197","Mrap"
"ENSMUST00000038227","Darc"
"ENSMUST00000038234","Ift122"
"ENSMUST00000038257","Gstt2"
"ENSMUST00000038341","Bub1b"
"ENSMUST00000038343","B4galnt2"
"ENSMUST00000038368","Id1"
"ENSMUST00000038382","Jph1"
"ENSMUST00000038398","Parp12"
"ENSMUST00000038406","Akr1b8"
"ENSMUST00000038431","Pdk2"
"ENSMUST00000038445","Mybph"
"ENSMUST00000038475","Fa2h"
"ENSMUST00000038495","Crp"
"ENSMUST00000038514","Nup54"
"ENSMUST00000038562","Spsb1"
"ENSMUST00000038618","Ltbp4"
"ENSMUST00000038710","Dsc1"
"ENSMUST00000038757","Csdc2"
"ENSMUST00000038760","Lad1"
"ENSMUST00000038765","Inhbb"
"ENSMUST00000038769","S100g"
"ENSMUST00000038775","Ndn"
"ENSMUST00000038844","Ubd"
"ENSMUST00000038868","Spata6"
"ENSMUST00000038876","Emp3"
"ENSMUST00000038896","Lcat"
"ENSMUST00000038928","Hils1"
"ENSMUST00000039013","Abca3"
"ENSMUST00000039026","Apln"
"ENSMUST00000039047","Serpini2"
"ENSMUST00000039088","Tex19.1"
"ENSMUST00000039205","Galm"
"ENSMUST00000039213","Ibtk"
"ENSMUST00000039247","Dsc2"
"ENSMUST00000039286","Atg5"
"ENSMUST00000039309","Sectm1b"
"ENSMUST00000039380","Gjb6"
"ENSMUST00000039408","Pkp2"
"ENSMUST00000039435","Hpn"
"ENSMUST00000039506","Igsf8"
"ENSMUST00000039534","Resp18"
"ENSMUST00000039537","Fam63a"
"ENSMUST00000039605","Fam50b"
"ENSMUST00000039610","Xylb"
"ENSMUST00000039620","Cbr3"
"ENSMUST00000039652","Ins1"
"ENSMUST00000039666","Plekhs1"
"ENSMUST00000039733","Osbpl11"
"ENSMUST00000039818","Aldh4a1"
"ENSMUST00000039862","Zp3r"
"ENSMUST00000039887","Pof1b"
"ENSMUST00000039909","Fxyd1"
"ENSMUST00000039925","Upb1"
"ENSMUST00000039987","Tox"
"ENSMUST00000040023","Iffo2"
"ENSMUST00000040104","Hand2"
"ENSMUST00000040131","Elf1"
"ENSMUST00000040167","Mat2b"
"ENSMUST00000040177","Znrd1as"
"ENSMUST00000040231","Trp63"
"ENSMUST00000040248","Spidr"
"ENSMUST00000040250","Kmo"
"ENSMUST00000040254","Edc4"
"ENSMUST00000040260","Frrs1"
"ENSMUST00000040261","Macrod1"
"ENSMUST00000040344","Gns"
"ENSMUST00000040361","Atp6v0e2"
"ENSMUST00000040374","A930018P22Rik"
"ENSMUST00000040416","Ddx19a"
"ENSMUST00000040418","Chad"
"ENSMUST00000040442","Aox4"
"ENSMUST00000040548","Mag"
"ENSMUST00000040576","Parm1"
"ENSMUST00000040592","Crygs"
"ENSMUST00000040647","Fgf1"
"ENSMUST00000040676","Ankrd54"
"ENSMUST00000040692","Mycbpap"
"ENSMUST00000040711","Nrap"
"ENSMUST00000040715","Mustn1"
"ENSMUST00000040772","Fermt3"
"ENSMUST00000040860","Psma8"
"ENSMUST00000040865","Tmem98"
"ENSMUST00000040912","Anln"
"ENSMUST00000040914","Hist1h1c"
"ENSMUST00000040941","Erv3"
"ENSMUST00000040960","Slc6a20a"
"ENSMUST00000040962","Nudt19"
"ENSMUST00000040987","Akr1d1"
"ENSMUST00000040999","Aox3"
"ENSMUST00000041005","Fxyd2"
"ENSMUST00000041029","Smad6"
"ENSMUST00000041065","Myo1d"
"ENSMUST00000041099","Neurod1"
"ENSMUST00000041142","Muc1"
"ENSMUST00000041197","Abhd4"
"ENSMUST00000041208","Aaas"
"ENSMUST00000041213","Cnppd1"
"ENSMUST00000041226","Muc3"
"ENSMUST00000041301","Pnmt"
"ENSMUST00000041316","Tcl1"
"ENSMUST00000041318","Ndrg4"
"ENSMUST00000041357","Lrg1"
"ENSMUST00000041366","Polr2j"
"ENSMUST00000041388","Serpine1"
"ENSMUST00000041407","Sostdc1"
"ENSMUST00000041416","Vnn1"
"ENSMUST00000041463","Pacrg"
"ENSMUST00000041477","Islr"
"ENSMUST00000041495","Mbnl3"
"ENSMUST00000041500","Srxn1"
"ENSMUST00000041544","Fbln2"
"ENSMUST00000041558","Ep400"
"ENSMUST00000041591","Enpp2"
"ENSMUST00000041618","Taf4a"
"ENSMUST00000041633","Tap1"
"ENSMUST00000041674","Btn1a1"
"ENSMUST00000041703","Dmkn"
"ENSMUST00000041736","Hdac11"
"ENSMUST00000041819","Tulp1"
"ENSMUST00000041901","Cib2"
"ENSMUST00000041913","Fam189b"
"ENSMUST00000041962","Grip1"
"ENSMUST00000041982","H2-DMb2"
"ENSMUST00000041987","Dicer1"
"ENSMUST00000041993","Iapp"
"ENSMUST00000042025","Antxr1"
"ENSMUST00000042042","Slc51a"
"ENSMUST00000042118","Foxq1"
"ENSMUST00000042167","Cpq"
"ENSMUST00000042219","Calm4"
"ENSMUST00000042228","Ifi203"
"ENSMUST00000042290","Itih2"
"ENSMUST00000042296","Qk"
"ENSMUST00000042345","Ctnna1"
"ENSMUST00000042468","1110032A03Rik"
"ENSMUST00000042497","Ndufv1"
"ENSMUST00000042594","Mlc1"
"ENSMUST00000042692","Tcp11"
"ENSMUST00000042699","Aldh8a1"
"ENSMUST00000042747","Npy6r"
"ENSMUST00000042755","Afp"
"ENSMUST00000042812","Slco1b2"
"ENSMUST00000042834","Uqcrfs1"
"ENSMUST00000042844","Nbl1"
"ENSMUST00000042901","Smc4"
"ENSMUST00000042942","Sec23ip"
"ENSMUST00000042943","Car10"
"ENSMUST00000042975","Tmem30b"
"ENSMUST00000042985","Cebpa"
"ENSMUST00000043056","Baat"
"ENSMUST00000043058","Serpina3k"
"ENSMUST00000043094","Itln1"
"ENSMUST00000043111","Edil3"
"ENSMUST00000043126","Ncoa6"
"ENSMUST00000043148","Gng12"
"ENSMUST00000043211","Coq10a"
"ENSMUST00000043214","Rac2"
"ENSMUST00000043311","Hmha1"
"ENSMUST00000043314","Cyp2s1"
"ENSMUST00000043317","Dnajc12"
"ENSMUST00000043379","2310002J15Rik"
"ENSMUST00000043382","4930544G11Rik"
"ENSMUST00000043400","Asprv1"
"ENSMUST00000043409","Zfp503"
"ENSMUST00000043419","Eif5a"
"ENSMUST00000043458","Srd5a2"
"ENSMUST00000043493","BC018507"
"ENSMUST00000043577","Cldn5"
"ENSMUST00000043596","Phka1"
"ENSMUST00000043604","Gna11"
"ENSMUST00000043654","Tubg2"
"ENSMUST00000043696","Serpinf2"
"ENSMUST00000043722","Lgals3bp"
"ENSMUST00000043781","Esrp1"
"ENSMUST00000043797","Capza3"
"ENSMUST00000043803","Scgb3a2"
"ENSMUST00000043848","Ncapd2"
"ENSMUST00000043873","Scgb3a1"
"ENSMUST00000043964","Wfs1"
"ENSMUST00000044051","Timm8b"
"ENSMUST00000044089","Asb17"
"ENSMUST00000044094","Hsd3b5"
"ENSMUST00000044103","Rpl39l"
"ENSMUST00000044111","Rras"
"ENSMUST00000044116","Spg20"
"ENSMUST00000044148","Alg2"
"ENSMUST00000044159","Serpina6"
"ENSMUST00000044228","Cd79b"
"ENSMUST00000044252","Nubp2"
"ENSMUST00000044355","Sepw1"
"ENSMUST00000044384","Aldh1b1"
"ENSMUST00000044426","Guca2b"
"ENSMUST00000044434","Crx"
"ENSMUST00000044478","Hibch"
"ENSMUST00000044507","Inpp5j"
"ENSMUST00000044565","Col16a1"
"ENSMUST00000044584","Lgals2"
"ENSMUST00000044602","Ces1g"
"ENSMUST00000044684","Helq"
"ENSMUST00000044687","Ifi27l2b"
"ENSMUST00000044694","Ttc36"
"ENSMUST00000044767","Neurod6"
"ENSMUST00000044792","Rcan2"
"ENSMUST00000044953","Svs2"
"ENSMUST00000044987","1700054O13Rik"
"ENSMUST00000045008","Cml2"
"ENSMUST00000045028","Crygd"
"ENSMUST00000045035","Apoc1"
"ENSMUST00000045078","Grhpr"
"ENSMUST00000045108","D1Pas1"
"ENSMUST00000045110","Dstyk"
"ENSMUST00000045127","Wfdc5"
"ENSMUST00000045167","Ehbp1"
"ENSMUST00000045186","Rpl3l"
"ENSMUST00000045215","Rfpl4"
"ENSMUST00000045224","Acer2"
"ENSMUST00000045262","Ak5"
"ENSMUST00000045288","Tgfb2"
"ENSMUST00000045372","Bpgm"
"ENSMUST00000045374","Ramp3"
"ENSMUST00000045376","Adk"
"ENSMUST00000045441","Pygb"
"ENSMUST00000045473","Tmcc2"
"ENSMUST00000045602","Ndufb10"
"ENSMUST00000045607","Melk"
"ENSMUST00000045620","Smco4"
"ENSMUST00000045706","Cftr"
"ENSMUST00000045730","Akap12"
"ENSMUST00000045737","Galnt11"
"ENSMUST00000045738","Slc32a1"
"ENSMUST00000045748","Pdk3"
"ENSMUST00000045756","S100a10"
"ENSMUST00000045793","Rnf38"
"ENSMUST00000045802","2810417H13Rik"
"ENSMUST00000045855","Hebp1"
"ENSMUST00000045887","Cisd1"
"ENSMUST00000045896","Pacsin1"
"ENSMUST00000045902","Fmo2"
"ENSMUST00000045905","Fermt2"
"ENSMUST00000045909","Zbed3"
"ENSMUST00000045912","Rptn"
"ENSMUST00000045959","Bpifb5"
"ENSMUST00000046001","Avp"
"ENSMUST00000046049","Fmo1"
"ENSMUST00000046091","Elane"
"ENSMUST00000046110","Astn1"
"ENSMUST00000046122","Lap3"
"ENSMUST00000046156","Sct"
"ENSMUST00000046174","Cldn11"
"ENSMUST00000046221","Pln"
"ENSMUST00000046246","Pdlim7"
"ENSMUST00000046285","C1qa"
"ENSMUST00000046322","Fcrla"
"ENSMUST00000046332","C1qc"
"ENSMUST00000046384","C1qb"
"ENSMUST00000046399","Apmap"
"ENSMUST00000046461","Dok4"
"ENSMUST00000046532","Gjb3"
"ENSMUST00000046549","Apobec2"
"ENSMUST00000046587","Scamp5"
"ENSMUST00000046611","Cuzd1"
"ENSMUST00000046614","Gipc2"
"ENSMUST00000046687","Spon1"
"ENSMUST00000046719","Nfya"
"ENSMUST00000046765","Kcnk1"
"ENSMUST00000046831","Tmem205"
"ENSMUST00000046833","Misp"
"ENSMUST00000046856","Chn2"
"ENSMUST00000046863","Hsd3b7"
"ENSMUST00000046869","Fbxw4"
"ENSMUST00000046892","Cplx1"
"ENSMUST00000046937","Tssk1"
"ENSMUST00000046959","Slc22a2"
"ENSMUST00000047008","Cst10"
"ENSMUST00000047013","Cmtm8"
"ENSMUST00000047091","Btbd10"
"ENSMUST00000047170","Klc3"
"ENSMUST00000047177","Nxt1"
"ENSMUST00000047199","Rdh7"
"ENSMUST00000047203","Rnf126"
"ENSMUST00000047226","Lonp1"
"ENSMUST00000047286","Mat1a"
"ENSMUST00000047311","Mboat1"
"ENSMUST00000047334","Kcnj1"
"ENSMUST00000047348","Spag1"
"ENSMUST00000047356","Atf5"
"ENSMUST00000047383","Kcne2"
"ENSMUST00000047421","Tie1"
"ENSMUST00000047431","AU040320"
"ENSMUST00000047443","Mansc1"
"ENSMUST00000047620","Fam151a"
"ENSMUST00000047627","Gpbp1"
"ENSMUST00000047652","Tspan14"
"ENSMUST00000047689","Fignl1"
"ENSMUST00000047698","Stx3"
"ENSMUST00000047737","Irf8"
"ENSMUST00000047740","Upk2"
"ENSMUST00000047753","Abcb1a"
"ENSMUST00000047761","Cldn10"
"ENSMUST00000047768","Neil3"
"ENSMUST00000047799","Acad11"
"ENSMUST00000047812","Dpp4"
"ENSMUST00000047816","Pla2g6"
"ENSMUST00000047865","Mbp"
"ENSMUST00000047873","Arhgef1"
"ENSMUST00000047889","Atp1b2"
"ENSMUST00000047906","Tiparp"
"ENSMUST00000047929","Acsm1"
"ENSMUST00000047935","Tspyl4"
"ENSMUST00000047951","Fbxo2"
"ENSMUST00000047973","Dhcr24"
"ENSMUST00000048001","Dmgdh"
"ENSMUST00000048012","5330417C22Rik"
"ENSMUST00000048028","Stag3"
"ENSMUST00000048032","Kap"
"ENSMUST00000048050","Tmem45b"
"ENSMUST00000048064","Greb1"
"ENSMUST00000048103","Bpifa2"
"ENSMUST00000048183","Fmod"
"ENSMUST00000048184","Pdcd7"
"ENSMUST00000048187","Ppp1r14a"
"ENSMUST00000048192","Haus1"
"ENSMUST00000048207","Aipl1"
"ENSMUST00000048214","Oosp1"
"ENSMUST00000048246","Fgb"
"ENSMUST00000048289","Egr2"
"ENSMUST00000048418","Ipo8"
"ENSMUST00000048432","Prelp"
"ENSMUST00000048452","Plvap"
"ENSMUST00000048462","Marc1"
"ENSMUST00000048482","2010003K11Rik"
"ENSMUST00000048527","Abhd14b"
"ENSMUST00000048644","Pnliprp1"
"ENSMUST00000048686","Prpmp5"
"ENSMUST00000048770","Sh3bgr"
"ENSMUST00000048801","2210407C18Rik"
"ENSMUST00000048824","Gm5617"
"ENSMUST00000048934","Tbr1"
"ENSMUST00000048945","Klk1b26"
"ENSMUST00000048947","C8a"
"ENSMUST00000048959","Cyp2c54"
"ENSMUST00000048982","Prickle1"
"ENSMUST00000048988","Znfx1"
"ENSMUST00000049004","Anpep"
"ENSMUST00000049022","Ninj1"
"ENSMUST00000049093","Txnip"
"ENSMUST00000049126","Dner"
"ENSMUST00000049130","Bex2"
"ENSMUST00000049152","Snx10"
"ENSMUST00000049169","Sin3a"
"ENSMUST00000049178","Cyp2c37"
"ENSMUST00000049197","Tm6sf2"
"ENSMUST00000049209","Gc"
"ENSMUST00000049230","Kcnab1"
"ENSMUST00000049239","Map4k5"
"ENSMUST00000049242","Lrrc20"
"ENSMUST00000049262","Sirpa"
"ENSMUST00000049281","Fam53c"
"ENSMUST00000049285","Lrrn1"
"ENSMUST00000049289","Ugt1a2"
"ENSMUST00000049308","Itpr3"
"ENSMUST00000049333","Kcne3"
"ENSMUST00000049344","Csgalnact2"
"ENSMUST00000049389","Zdhhc2"
"ENSMUST00000049404","Clasp1"
"ENSMUST00000049420","Tsga8"
"ENSMUST00000049463","Prl3a1"
"ENSMUST00000049469","Exoc1"
"ENSMUST00000049527","Prkar1a"
"ENSMUST00000049644","Dppa3"
"ENSMUST00000049697","Cldn8"
"ENSMUST00000049930","Tcf21"
"ENSMUST00000049941","Scn3b"
"ENSMUST00000049972","Scg2"
"ENSMUST00000049985","Hepacam2"
"ENSMUST00000050000","Stxbp1"
"ENSMUST00000050003","1700001O22Rik"
"ENSMUST00000050027","Nov"
"ENSMUST00000050029","Six1"
"ENSMUST00000050073","Dnajb4"
"ENSMUST00000050300","Adam5"
"ENSMUST00000050366","Ift20"
"ENSMUST00000050373","Tssk6"
"ENSMUST00000050397","Sprr2f"
"ENSMUST00000050471","Pbp2"
"ENSMUST00000050497","C87436"
"ENSMUST00000050551","Cited1"
"ENSMUST00000050658","Spz1"
"ENSMUST00000050732","Kctd14"
"ENSMUST00000050772","Slc22a17"
"ENSMUST00000050850","Trim32"
"ENSMUST00000050864","Prm3"
"ENSMUST00000050901","Apof"
"ENSMUST00000050952","Stbd1"
"ENSMUST00000051017","Defb1"
"ENSMUST00000051103","Krtap19-4"
"ENSMUST00000051122","Zg16"
"ENSMUST00000051209","Peg3"
"ENSMUST00000051226","Pfkm"
"ENSMUST00000051239","Sptssb"
"ENSMUST00000051272","Wfdc12"
"ENSMUST00000051283","4922502D21Rik"
"ENSMUST00000051297","Tnp2"
"ENSMUST00000051309","Olfm3"
"ENSMUST00000051396","Soat1"
"ENSMUST00000051401","Cldn4"
"ENSMUST00000051443","Synpo2"
"ENSMUST00000051521","Lce1h"
"ENSMUST00000051672","Bst2"
"ENSMUST00000051806","Dntt"
"ENSMUST00000051810","Plekha4"
"ENSMUST00000051937","Rasl11b"
"ENSMUST00000051995","Jak3"
"ENSMUST00000052011","Tle4"
"ENSMUST00000052060","Masp2"
"ENSMUST00000052068","Rbp1"
"ENSMUST00000052125","Pard6b"
"ENSMUST00000052130","Gjb1"
"ENSMUST00000052140","Gsg2"
"ENSMUST00000052172","Cxcr4"
"ENSMUST00000052209","Cbfb"
"ENSMUST00000052211","Znrf4"
"ENSMUST00000052224","Psapl1"
"ENSMUST00000052325","Ranbp1"
"ENSMUST00000052347","Mc2r"
"ENSMUST00000052348","Slc22a18"
"ENSMUST00000052355","Nup37"
"ENSMUST00000052380","Insl6"
"ENSMUST00000052462","Pdpk1"
"ENSMUST00000052602","C77080"
"ENSMUST00000052622","1810011O10Rik"
"ENSMUST00000052686","H2afx"
"ENSMUST00000052725","Sc5d"
"ENSMUST00000052761","Idh3g"
"ENSMUST00000052827","Ppp1r17"
"ENSMUST00000052865","Tmem123"
"ENSMUST00000052915","Axin2"
"ENSMUST00000052919","Ormdl3"
"ENSMUST00000052999","Echdc2"
"ENSMUST00000053033","D1Ertd622e"
"ENSMUST00000053149","Krtap13"
"ENSMUST00000053183","Arf3"
"ENSMUST00000053361","Gprc5c"
"ENSMUST00000053364","Aspm"
"ENSMUST00000053410","Zfp574"
"ENSMUST00000053413","Cdk5r1"
"ENSMUST00000053426","Pptc7"
"ENSMUST00000053460","Krtap19-5"
"ENSMUST00000053540","Ngfrap1"
"ENSMUST00000053568","Lingo1"
"ENSMUST00000053611","Cox8c"
"ENSMUST00000053661","Gimap6"
"ENSMUST00000053663","Wdr36"
"ENSMUST00000053683","Ggnbp1"
"ENSMUST00000053716","Clrn3"
"ENSMUST00000053718","Rlbp1"
"ENSMUST00000053748","Epb4.1l2"
"ENSMUST00000053764","Foxo1"
"ENSMUST00000053830","Hmgb4"
"ENSMUST00000053855","Ddit4l"
"ENSMUST00000054030","Acy3"
"ENSMUST00000054083","Ermp1"
"ENSMUST00000054125","Pmel"
"ENSMUST00000054174","Cyp4f14"
"ENSMUST00000054223","2310057N15Rik"
"ENSMUST00000054237","Dclk1"
"ENSMUST00000054426","Lce1l"
"ENSMUST00000054462","Tbc1d8"
"ENSMUST00000054484","Slc4a10"
"ENSMUST00000054532","Krtap1-5"
"ENSMUST00000054534","Trap1a"
"ENSMUST00000054536","Pqlc3"
"ENSMUST00000054599","Sprr1a"
"ENSMUST00000054636","Bag5"
"ENSMUST00000054702","Cts3"
"ENSMUST00000054889","Cldn2"
"ENSMUST00000054927","Rnf112"
"ENSMUST00000054963","Fdft1"
"ENSMUST00000055022","Tpra1"
"ENSMUST00000055083","Hcrt"
"ENSMUST00000055102","Timd2"
"ENSMUST00000055104","Tceal1"
"ENSMUST00000055168","Kcna1"
"ENSMUST00000055211","Lrrc3b"
"ENSMUST00000055241","Zfp106"
"ENSMUST00000055327","Aqp3"
"ENSMUST00000055374","Tssk2"
"ENSMUST00000055502","Krtap3-1"
"ENSMUST00000055576","Pcsk6"
"ENSMUST00000055655","Fasn"
"ENSMUST00000055676","S1pr1"
"ENSMUST00000055688","Phf13"
"ENSMUST00000055738","Tsc22d3"
"ENSMUST00000055808","Ywhag"
"ENSMUST00000055844","Rbpms2"
"ENSMUST00000055921","Npdc1"
"ENSMUST00000056028","Sbk1"
"ENSMUST00000056085","Csl"
"ENSMUST00000056089","Tmem37"
"ENSMUST00000056110","Dlk1"
"ENSMUST00000056177","Pacsin2"
"ENSMUST00000056228","Sptssa"
"ENSMUST00000056362","Krt34"
"ENSMUST00000056416","Rbfox1"
"ENSMUST00000056427","Tubb2a"
"ENSMUST00000056442","Slc6a5"
"ENSMUST00000056460","Hdhd1a"
"ENSMUST00000056495","Dnmt3b"
"ENSMUST00000056589","BC089491"
"ENSMUST00000056882","Olig1"
"ENSMUST00000056972","Cmtr2"
"ENSMUST00000057089","Patz1"
"ENSMUST00000057101","Akap4"
"ENSMUST00000057167","Slc34a1"
"ENSMUST00000057195","Nup62"
"ENSMUST00000057216","Mtch2"
"ENSMUST00000057236","Dnajb7"
"ENSMUST00000057270","Pnlip"
"ENSMUST00000057481","Nup160"
"ENSMUST00000057486","Ankrd46"
"ENSMUST00000057503","Lamp5"
"ENSMUST00000057561","Wwc2"
"ENSMUST00000057625","Arxes1"
"ENSMUST00000057716","Tex40"
"ENSMUST00000057810","Psg23"
"ENSMUST00000057860","Pdha2"
"ENSMUST00000057866","Nrsn1"
"ENSMUST00000057944","Ugt8a"
"ENSMUST00000058011","Mcm2"
"ENSMUST00000058103","Gm5436"
"ENSMUST00000058119","Arxes2"
"ENSMUST00000058125","Bex1"
"ENSMUST00000058142","Sprr3"
"ENSMUST00000058150","Lor"
"ENSMUST00000058210","Eps8"
"ENSMUST00000058237","Ugt1a7c"
"ENSMUST00000058265","C1galt1c1"
"ENSMUST00000058351","Pgm2"
"ENSMUST00000058383","Paip2b"
"ENSMUST00000058488","Tmed3"
"ENSMUST00000058534","Med26"
"ENSMUST00000058643","Fbxo43"
"ENSMUST00000058651","Lao1"
"ENSMUST00000058714","Cd24a"
"ENSMUST00000058845","Basp1"
"ENSMUST00000058865","Pdzk1"
"ENSMUST00000058906","Chchd10"
"ENSMUST00000058981","Lxn"
"ENSMUST00000058987","Krtap4-2"
"ENSMUST00000059056","Slc12a8"
"ENSMUST00000059102","Upp2"
"ENSMUST00000059138","Prr15"
"ENSMUST00000059193","F2r"
"ENSMUST00000059348","Guca1a"
"ENSMUST00000059401","Atg9b"
"ENSMUST00000059472","Mat2a"
"ENSMUST00000059498","Edem3"
"ENSMUST00000059539","Nap1l5"
"ENSMUST00000059642","Psmd8"
"ENSMUST00000059657","Gk2"
"ENSMUST00000059740","2310061I04Rik"
"ENSMUST00000059787","Dsg2"
"ENSMUST00000059826","Kcnb1"
"ENSMUST00000059889","Adig"
"ENSMUST00000059954","Pltp"
"ENSMUST00000059970","Gulo"
