"","GSM456661.CEL.gz","GSM456662.CEL.gz","GSM456663.CEL.gz","GSM456664.CEL.gz","GSM456665.CEL.gz","GSM456667.CEL.gz","GSM456668.CEL.gz","GSM456669.CEL.gz","GSM456670.CEL.gz","GSM456671.CEL.gz","GSM456672.CEL.gz","GSM456673.CEL.gz","GSM456676.CEL.gz","GSM456677.CEL.gz","GSM456678.CEL.gz"
"ENSMUST00000102481",5.06743526338635,5.08461425436032,4.885628480517,5.14470857441703,5.14163519671895,4.92899919506307,5.11820316913926,5.08461425436032,5.19546058745506,5.15174096340379,4.91207414774326,4.53737615354014,5.2106878788298,5.49081202152344,4.76351629280293
"ENSMUST00000102486",5.05139332866934,5.03345381895974,5.07076563062762,5.15181004271221,4.97574909331079,5.29410797205715,5.16225057756432,5.34183257787133,5.16225057756432,5.22949629930872,5.16225057756432,5.28910355904476,5.04505685636752,5.63063892074597,5.07542986091602
"ENSMUST00000102490",4.82334101868906,4.95898231512578,4.90165113178929,4.75805898339009,4.80970596056047,4.70421324831733,4.76826091480471,4.75402790388292,4.73591680299166,4.96225403084303,4.79090246434061,4.82557825241001,4.80079967511076,4.54192997618263,5.01411115130968
"ENSMUST00000102495",4.82284900366853,4.6839001004497,4.71996391731701,5.69219933545599,5.74307764054703,7.02658276110031,7.45405410327685,6.57179391067328,6.76057021995092,6.76026516554292,7.1449890040112,4.24610491120723,4.43914009014826,4.254473384475,4.38174050680522
"ENSMUST00000102515",5.30583335459236,5.33859647564311,5.41778547254591,5.15398840097937,5.03289078865008,5.10019356942712,5.21210909157021,5.23787550650604,5.26090974163681,5.33880891894971,5.22842214807726,5.32247725203056,4.95978797650812,5.3706682149499,5.17881716342785
"ENSMUST00000102518",5.73841879853537,5.94416296704372,5.95979112628443,5.9767041391912,5.72898449573757,5.60197760477839,5.54249656621938,5.61706321102477,5.45108356430148,5.47447656956516,5.38166020702261,5.60539400371519,5.42977902522816,5.66866012541147,5.26348163605239
"ENSMUST00000102520",9.00224963569033,8.95413234622954,8.98484412787321,7.55763806931775,8.14178374521591,7.47091151982797,7.73942961564033,7.8489489170075,7.73111993570678,7.57437292192579,7.93357121749253,7.53024173124674,7.86098177572072,7.17391816555642,8.20764938535554
"ENSMUST00000102522",5.5280515070221,5.52436730654022,5.56304764147291,5.63695525111968,5.73460409798088,5.63695525111968,5.61226483147332,5.84839165350986,5.70041179171324,5.54041695662996,5.91641832383561,5.45954487456927,5.63801872622969,5.78636911402768,5.52062855298864
"ENSMUST00000102527",9.87706210520158,9.51465106085002,9.69404853054569,7.14833147561443,7.87522235214481,6.65113944244109,6.32788110541319,7.04401407140749,4.7968325726897,4.70985415003368,5.21096901414469,6.69771252707761,6.98885491939171,6.13070125195107,7.02354103770095
"ENSMUST00000102533",5.89037122751551,5.72453892598391,5.59904788504895,5.0209412059491,5.09399164744162,4.61425376944833,4.76296179645935,5.03076420934519,5.14842758810789,5.07584984008714,4.72897506620257,5.31000245261232,4.98531644169088,5.38429432477017,5.12022437997426
"ENSMUST00000102538",9.92985729780363,10.396443143407,10.0632341902897,8.04972104544092,8.93194637417318,6.71680217406672,6.36194227209691,6.97677818009682,4.74242823041271,4.61683863918932,4.43508669274254,4.83542184064525,5.05368677249233,4.90561316561227,4.70727925728364
"ENSMUST00000102540",7.01898282543488,7.19451286446865,7.11228135945023,7.07756142634552,6.83794941486663,6.50741214619468,6.8113157003617,6.90564892567389,6.56437201296547,6.61615564560606,6.47099354844006,6.48618679173834,6.47311726085341,6.78968307740383,6.76565968509459
"ENSMUST00000102541",7.01898282543488,7.19451286446865,7.11228135945023,7.07756142634552,6.83794941486663,6.50741214619468,6.8113157003617,6.90564892567389,6.56437201296547,6.61615564560606,6.47099354844006,6.48618679173834,6.47311726085341,6.78968307740383,6.76565968509459
"ENSMUST00000102542",9.31528476773081,9.35126073134329,9.62076467500172,5.56104826699328,6.26913368824496,5.41384262143773,5.97850468115774,5.69611825084902,6.43677553566777,6.66599268028831,6.36903730633301,6.02616325334726,6.27855979044059,5.9243462777012,6.41103574914662
"ENSMUST00000102574",5.83066859959074,5.84257136471241,5.96049173249502,5.71067285313919,5.71988060250912,6.54865681433894,6.46298776390639,6.06723886466401,7.53212326167225,7.59461630585059,7.04566638964706,7.27048043321091,7.86210910245018,7.11474759369722,8.20121857958286
"ENSMUST00000102581",8.43063208747191,8.66557767336785,8.69030242333697,6.93292624735379,7.31168963798366,6.87252975597064,7.10741903842672,6.88849622633749,7.81877870403668,7.93118503510556,8.27299408982553,6.0700129304592,6.42615501164839,6.63492937174625,6.77295113691286
"ENSMUST00000102584",10.0137642938134,10.2741208249028,10.0376276853197,10.0015812551472,9.85033575120618,10.1160570632585,10.719332456344,10.1153460137902,10.5846122789368,10.4868544798642,10.7729830345124,9.26762700660157,8.77601827885805,7.52030260944776,8.65304029312339
"ENSMUST00000102596",5.50085368463652,5.36750600176467,5.342156513677,6.09463905979571,5.98806953607819,6.88910554226528,6.50373909973309,6.6795361958892,6.24596806622556,6.12357566959642,5.87836178022668,5.34136820422054,5.68721463106885,5.76100281810748,5.27789607509483
"ENSMUST00000102604",7.15603537958372,7.17371382625185,7.20650535891511,6.15344901985343,5.84699971408268,6.2914763265478,6.58632059154785,6.21288833843945,6.65577971634485,6.65577971634485,6.71079050475292,6.4817896559123,7.11549080806379,6.73301655937683,7.45598061828233
"ENSMUST00000102616",4.71049154828427,4.5091883224909,4.7470740900577,5.8761457082379,5.44446393839209,6.27576435832714,6.09732540825707,6.06602585200988,4.99029882525526,4.70985415003368,4.88776002845139,4.95544238152948,4.69816409344255,5.37112934278331,4.68170574027089
"ENSMUST00000102626",5.04600070165985,4.91690641286703,4.92135819993412,5.21929116978794,4.88174311711946,5.14441253235261,5.14854374653786,5.27108129156525,5.05647450940606,5.02572120317984,5.12814471221678,5.02903029343674,5.02565400249644,5.32239292876089,4.91905465165499
"ENSMUST00000102635",5.18004766496777,5.05753493123268,5.22445258460054,5.19869810270109,5.16221229832143,5.19869810270109,5.35451229503963,5.19869810270109,5.19869810270109,5.2269615461997,5.2712735509751,5.19869810270109,5.13686335965959,5.24817579699575,4.98552127248536
"ENSMUST00000102640",5.14341425611376,4.74679588109409,4.78642545315927,5.4516402175363,5.71630290459451,5.1726356817803,5.32704517213634,4.70715796039622,5.2071886758565,5.09148546352908,4.62444373076356,4.77900579548251,5.21385321974808,5.91604090681802,4.93697964260251
"ENSMUST00000102654",4.91942138116608,4.81727869480736,4.80225297092467,4.86205703758226,4.80225297092467,4.80225297092467,4.68172133399025,4.77426965087026,4.50424982088488,4.7176954790221,4.65388460562617,4.68531526374284,5.09275046983293,4.94064489071553,4.86939726646454
"ENSMUST00000102655",4.91942138116608,4.81727869480736,4.80225297092467,4.86205703758226,4.80225297092467,4.80225297092467,4.68172133399025,4.77426965087026,4.50424982088488,4.7176954790221,4.65388460562617,4.68531526374284,5.09275046983293,4.94064489071553,4.86939726646454
"ENSMUST00000102661",4.81389302906357,4.84633410663361,4.84257138660695,4.85497775239183,4.84257138660695,4.86317537086397,4.84257138660695,4.83179986870904,4.84257138660695,4.72342575953325,4.89596437687315,4.84257138660695,4.84796640184847,4.90881154922469,4.86720065556415
"ENSMUST00000102665",4.13049172419778,4.12603200147439,3.98588026077655,4.370348373538,3.80804571421611,4.30921857746543,4.07197050232455,4.37472037280297,4.09676259191696,4.07185128156201,3.93708203169629,4.33403087010511,3.81484775566311,4.86219125357823,3.88052337977703
"ENSMUST00000102677",5.28942782097939,5.28774902906492,5.40112372786957,4.49768947971658,5.06003943046306,4.65592197651315,4.4753032113573,4.98587369180849,4.78331240608987,4.43737085405271,4.00603563191982,4.99010292339069,4.89393403692372,5.70136235596788,4.87154298792676
"ENSMUST00000102689",4.75326135417173,4.47291969716472,4.6145134241499,4.41280550265197,4.88223325102267,5.06041351048405,5.49538210465429,5.8417788070295,4.63422453302506,4.55123859250216,5.07362510988202,4.93761586972716,4.94096810139257,3.92032338852132,4.85788289350006
"ENSMUST00000102691",5.46634856960911,5.7177923402293,5.50311903286804,5.37262176940599,5.13717689991926,6.65856575333025,6.26554401395908,6.5419531988325,6.15945158265273,6.42935160850518,6.94188040518493,4.27193466741175,4.6771010862449,5.06300409018108,5.22858093195577
"ENSMUST00000102692",6.43062359540828,6.37618839683998,6.5846838754726,6.92764757248265,6.58441503873001,7.33137952043077,7.39374657144918,7.02535975854046,7.8326100059854,7.45419700221879,7.64403685591785,6.14204054755307,6.69084022299466,6.43335535577784,6.56524090048779
"ENSMUST00000102693",6.43062359540828,6.37618839683998,6.5846838754726,6.92764757248265,6.58441503873001,7.33137952043077,7.39374657144918,7.02535975854046,7.8326100059854,7.45419700221879,7.64403685591785,6.14204054755307,6.69084022299466,6.43335535577784,6.56524090048779
"ENSMUST00000102697",8.33062018336402,8.24230468780558,8.38251768646656,8.01263542312796,8.48112138012246,7.35033681085562,6.6034084905773,7.45472887484071,6.69658510275976,6.29631627437816,6.76305182286689,5.75147889687427,6.39217570965624,5.436145384215,6.29444327280295
"ENSMUST00000102707",5.52410116777538,5.74898685805119,5.54261438959645,5.45869225037339,5.20198244428134,5.5299691133125,5.48682481425633,5.20259811341812,5.46364854018746,5.48682481425633,5.80911902200868,5.77101854847151,5.48682481425633,5.42592008767584,5.5736286315891
"ENSMUST00000102709",5.69436542198847,5.74116832369206,5.64741136384094,5.84348572962864,5.55747922822956,5.53802842869695,5.59063092887634,5.3314459890628,5.62300490133398,5.22148680338738,5.50381767577712,5.5118147641848,5.31907375173567,5.33270408549668,5.34155154610243
"ENSMUST00000102710",5.69436542198847,5.74116832369206,5.64741136384094,5.84348572962864,5.55747922822956,5.53802842869695,5.59063092887634,5.3314459890628,5.62300490133398,5.22148680338738,5.50381767577712,5.5118147641848,5.31907375173567,5.33270408549668,5.34155154610243
"ENSMUST00000102715",4.3079428542294,4.39463075604283,4.17115365253823,4.29601515858282,4.22473668302585,4.0927360334463,4.20252941819232,4.21762711315971,4.12286917386447,4.13375832899145,4.1979037983823,4.16099954938505,4.1531384171363,4.10126326023191,4.20871199373562
"ENSMUST00000102716",4.57523147867417,4.56989557790104,4.62899702761749,4.53750716310629,4.63853609419825,4.64876981779874,4.54464540164706,4.57697547535115,4.53007370308053,4.53362615194794,4.59039929779588,4.30228546100688,4.76684825225937,4.59624857026152,4.62469382534219
"ENSMUST00000102722",4.27430314110773,4.21642252582261,4.09764913663672,4.52212613039375,4.07657025962521,4.30903589567593,4.10867217142809,3.97881065522085,4.14268994295044,4.09097990362507,4.05602251108138,4.33257062191847,4.13859787863207,4.22130704508992,4.09077377931743
"ENSMUST00000102723",4.27430314110773,4.21642252582261,4.09764913663672,4.52212613039375,4.07657025962521,4.30903589567593,4.10867217142809,3.97881065522085,4.14268994295044,4.09097990362507,4.05602251108138,4.33257062191847,4.13859787863207,4.22130704508992,4.09077377931743
"ENSMUST00000102732",4.37003901809612,4.39411910236074,4.4400443874046,4.44609182875021,3.98754179154869,4.30554794419294,4.21243207680731,4.39411910236074,4.57181718551672,4.42611660306,4.35427584556572,4.63733449630619,4.45872695648055,4.89159584991839,4.38971392317785
"ENSMUST00000102733",3.89402496703353,3.8370087127179,3.89916065857902,3.92064185979255,4.10771607836861,4.1408040422522,4.26887867627352,4.1408040422522,4.1408040422522,4.21170036819716,4.19599209343254,4.44683996448079,4.3013962872951,4.14494693281168,3.98592411609524
"ENSMUST00000102735",6.56047836096329,6.37107329802761,6.58653237913961,5.32918378151763,5.78848623192501,5.55823493775662,5.0729032207449,5.78016116913095,4.88227305513226,4.78352658920728,4.86315877336344,5.00449043725078,5.04508005711127,4.77733870319315,4.85741417582341
"ENSMUST00000102754",8.6609636901549,8.83271293034593,8.95224421119932,8.59265653493663,8.66244188510472,7.89306969232739,7.64103348126435,8.32736443125421,6.68415835918667,6.78533038862548,6.61007181607432,7.31448667825369,7.3607614167113,6.69368237689826,7.19272868515217
"ENSMUST00000102758",9.19303308265523,9.12107430455238,9.35548471487845,9.34317228122653,9.91442934010227,10.5204497971226,10.2868444831927,9.89919267222487,11.4871374593945,11.7233298759343,12.1497818128732,9.09557316188693,11.4387750382589,10.6211686662688,11.5571581623942
"ENSMUST00000102783",6.68279425014717,6.53545543224873,6.54292832523973,6.66032792457895,6.65403319884337,6.68279425014717,6.7136065635541,6.52681561811495,6.54833170166631,6.03042261863746,6.31215298432452,7.15079074224614,8.00125354292106,6.91203572342003,7.74538735722755
"ENSMUST00000102794",7.34810918463073,7.62455662694375,7.52451536767637,5.98727471549677,6.2078131147029,5.31320328829848,5.49088169296099,5.67308929415739,5.3441637792323,5.31985200092725,4.806808715262,6.32725573279047,6.93583748002807,6.57050569704891,6.91095795719415
"ENSMUST00000102798",6.81428580419575,6.75966661796371,6.81776191492693,5.96281003286656,6.04492199336626,5.79658224362735,5.61062005906437,5.85591513013112,5.21896237838755,5.46500743690031,4.71660250712116,5.93254776313202,5.23312931726041,5.16519185831518,5.15812363087864
"ENSMUST00000102799",9.26084809964518,9.3031217719728,9.45055976720462,7.2331773415511,8.02159818755999,7.90413299063982,7.04329222212044,8.08395283499647,4.0069858712469,4.24879150188943,4.91835446600908,4.80773078541452,3.97360606044686,4.82671340071775,3.94347935857515
"ENSMUST00000102803",4.96471748584367,5.2169971532612,4.90814639479913,5.56685404606845,5.50534465719743,5.63663475393987,5.93026023272315,5.47399699010091,5.84772271840033,5.94681122174808,5.86144489062422,5.17811098523923,5.2263548302888,5.29132758481309,5.12432542393155
"ENSMUST00000102812",5.50430429840173,5.55219693543208,5.52362022742514,5.80694544471924,5.84978153728684,5.82465595289963,5.60635740571937,5.69325271634126,5.75177750758205,5.87954333071151,5.62582244678049,5.98918776928376,6.03441907981067,6.08563091017158,5.68309489836288
"ENSMUST00000102817",4.2252863959961,4.31555804554046,4.10349815097647,4.38113861221582,4.10627082660703,4.54049325680485,4.31367569148055,4.46591375267322,4.31367569148055,4.31424457280664,4.43875408209544,4.31163761750978,4.09041714616698,4.41105191057412,4.28641467473826
"ENSMUST00000102831",4.29548513459135,4.29558826947707,4.41443223430258,4.40337055185456,4.06998232564118,4.50382224625699,4.33460994336628,4.38617986612237,4.43006007256974,4.39420118152311,4.56629802982317,4.69091309987902,4.16647508507618,4.81167500341036,4.04699381438789
"ENSMUST00000102841",8.20081035338,7.55454858821955,7.69576569426144,8.33835279602662,9.07815118570091,9.72576742922904,9.91703133842263,9.90214687267378,9.4423413592223,9.33092460831089,9.64443274590657,8.83993390124936,9.42273382437167,8.6289440918294,9.5749000173839
"ENSMUST00000102842",8.20081035338,7.55454858821955,7.69576569426144,8.33835279602662,9.07815118570091,9.72576742922904,9.91703133842263,9.90214687267378,9.4423413592223,9.33092460831089,9.64443274590657,8.83993390124936,9.42273382437167,8.6289440918294,9.5749000173839
"ENSMUST00000102843",8.20081035338,7.55454858821955,7.69576569426144,8.33835279602662,9.07815118570091,9.72576742922904,9.91703133842263,9.90214687267378,9.4423413592223,9.33092460831089,9.64443274590657,8.83993390124936,9.42273382437167,8.6289440918294,9.5749000173839
"ENSMUST00000102858",5.41943047877989,5.49838237040809,5.56320824905435,5.40266415077845,5.57656030523699,5.4221819095872,5.40266415077845,5.24463942972136,5.37891568590401,5.40266415077845,5.26782957283618,5.37022511716261,5.3161457326214,5.1218377127312,5.40266415077845
